Protein ID,Gene name,Control1,Control2,Control3,Disease1,Disease2,Disease3
A1L188, C17orf89 ,-3.469058057,-1.905880107,-0.603207519,-3.189907243,-1.786850886,-1.744705349
A1L4K1, FSD2 ,1.177851504,1.114047499,0.881217756,1.272124225,1.011130537,1.3146845
A1X283, SH3PXD2B ,-4.231866748,-4.91773891,-3.802440818,-4.104730185,-4.375960504,-4.414548393
A2RRP1, NBAS ,1.324233179,1.333985645,1.393211421,1.341515267,0.983036846,1.383671539
A2RTX5, TARSL2 ,-0.195429602,-0.15088644,-0.030771555,-0.238773199,-0.55037001,-0.080942502
A2RUH7, MYBPHL ,-3.893354514,-3.804710605,-3.455692163,-3.233997141,-2.647025508,-4.283492024
A3KMH1, VWA8 ,4.077480695,3.582465164,3.721787125,3.853943913,4.068212097,4.145145283
A3KN83, SBNO1 ,-4.591875638,-5.02430606,-4.310061741,-4.008453291,-1.088818785,-4.292061666
A4D126, ISPD ,-1.048256333,-1.692348503,-1.139422607,-1.037417426,-0.840455855,-2.134870536
A4D161, FAM221A ,-5.041845657,-5.407790877,-4.342723889,-4.694694132,-5.093721177,-5.122375439
A4D1P6, WDR91 ,-0.702862008,-0.937573496,-1.028319745,-0.934650187,-1.180766754,-0.86286156
A4UGR9, XIRP2 ,1.637736423,1.733201523,1.686743968,1.950377238,2.492103683,1.577774024
A5D8V6, VPS37C ,-3.626119728,-3.643528375,-3.428630607,-3.288789355,-3.603366808,-3.749547261
A5PLN9, TRAPPC13 ,-0.791171624,-0.96344351,-0.998608906,-0.732583701,-0.985485525,-0.819581638
A5YKK6, CNOT1 ,-1.342483585,-1.866774593,-1.732935872,-1.384640137,-1.564927737,-1.312743542
A5YM72, CARNS1 ,0.249614173,0.705926837,0.574163601,0.152630303,0.843997857,0.190425814
A6NDG6, PGP ,1.755134852,1.481847438,1.453553103,1.280335094,1.698657538,1.499730684
A6NDU8, C5orf51 ,-6.612733488,-6.903441504,-6.441961187,-6.655704716,-6.69458424,-7.284175725
A6NED2, RCCD1 ,-3.213995784,-3.444580854,-3.232039326,-3.203484636,-3.334751758,-3.336715174
A6NHR9, SMCHD1 ,0.323653731,0.265818337,0.157392108,0.548362399,0.343977608,0.60247438
A6NHZ5, LRRC14B ,-4.372603099,-4.674225172,-4.446476564,-4.48043976,-4.257723082,-4.423876764
A6NI79, CCDC69 ,-1.865027246,-1.534568552,-2.042716412,-1.469076629,-1.625311866,-1.697782096
A6NIH7, UNC119B ,-3.542867247,-3.673750936,-3.818059068,-3.482918782,-3.632376637,-3.901116026
A6NJ78, METTL15 ,-3.776926455,-6.506769955,-3.254023745,-4.156835973,-3.727951485,-4.114516695
A6NKD9, CCDC85C ,-1.624826701,-2.166377797,-2.088604228,-1.563044825,-1.633506109,-2.041490177
A6NKT7, RGPD3,-2.397631111,-2.936255498,-2.788121869,-1.344639023,-1.34482849,-2.141025851
A6NMZ7, COL6A6 ,1.455432232,2.018027152,2.228710722,1.772937642,1.787529598,1.951578876
A7E2V4, ZSWIM8 ,-2.941389939,-3.178495975,-3.069449314,-2.634333517,-3.187575037,-3.196305641
A7E2Y1, MYH7B ,-1.98439957,-2.558863855,-2.334373384,-1.834451208,-0.7456061,-2.128501542
A8MSI8, LYRM9 ,-3.213248158,-2.990458805,-2.276958049,-3.24564826,-1.714579204,-2.57896672
A8MVU1, NCF1C,-3.556527871,-3.396377347,-3.840059727,-3.474687702,-3.882088608,-3.836738119
A8MXV4, NUDT19 ,2.148068909,0.939577895,2.241506686,1.513375609,2.097154158,2.49039156
A9Z1Z3, FER1L4 ,-5.039325781,-5.273572262,-5.895985098,-5.142580171,-4.684737621,-5.235593847
B0YJ81, HACD1 ,-2.179506819,-2.867651684,-2.644165952,-1.515417798,-2.100378365,-2.164437238
B2RUZ4, SMIM1 ,-8.252801436,-4.549039702,-7.161223566,-6.078090045,-5.231008503,-6.707070516
B5MCN3, SEC14L6,-0.799563679,-0.970235691,-0.739350542,-0.52970172,-0.79006744,-0.803411427
B7ZBB8, PPP1R3G ,-0.950012893,-1.057200849,-1.285874072,-1.524474447,-1.184900554,-1.199715451
C4AMC7, WASH3P,-0.511032942,-0.456482732,-0.617175952,-0.31418183,-0.472338791,-0.686881741
C9J7I0, UMAD1 ,-7.875969029,-6.057990196,-6.980538965,-7.73326745,-7.924038003,-7.696451922
C9JLW8, FAM195B ,-0.768479331,-0.795736334,-0.683844621,-0.352790785,-0.063342376,-0.730940685
C9JRZ8, AKR1B15,-4.744618523,-4.457799904,-5.133923042,-4.415613741,-4.933011082,-5.20989201
E7EW31, PROB1 ,1.569388422,1.134151753,1.360441842,1.440937544,1.528923761,1.552662092
E9PAV3, NACA ,5.020706211,4.701985618,4.508375948,5.01238154,4.906276615,4.983046907
G9CGD6, CNKSR3,-3.119616812,-3.737315311,-3.266077931,-3.088957283,-3.19494606,-3.298792299
L0R6Q1, SLC35A4 ,-0.951648602,-0.45309781,-0.611048114,-0.719243291,-0.907961787,-0.688913768
L0R819, ASNSD1 ,-2.688211588,-1.843723877,-1.36508052,-2.678129089,-1.341678499,-2.186985614
O00115, DNASE2 ,-0.261638836,-1.167310135,-0.689060333,-0.892289403,-0.659025152,-0.387393194
O00116, AGPS ,-1.603057438,-1.963102608,-1.684334708,-1.255640501,-1.930563788,-1.496434471
O00139, KIF2A ,-1.665791833,-1.03086012,-0.903962358,-1.206554285,-0.795157075,-1.29668897
O00142, TK2 ,-2.164164167,-2.047817212,-2.058957172,-2.15227577,-1.868349058,-1.860718733
O00148, DDX39A ,-4.533598164,-4.339209756,-4.308625434,-4.716519821,-4.742390129,-4.218442545
O00151, PDLIM1 ,5.112088406,5.04397683,4.678488944,5.665563685,4.50293116,4.87617839
O00154, ACOT7 ,-2.892411728,-2.691501147,-2.510148796,-2.753137763,-2.630889138,-2.743749934
O00159, MYO1C ,3.442814151,3.312279408,3.060345729,3.192463696,3.297113349,3.695538914
O00161, SNAP23 ,1.232721414,1.110053562,1.166729311,1.174935506,0.913511938,1.167780117
O00165, HAX1 ,0.973556891,0.923017077,0.830661175,1.085318649,1.069203503,0.899183923
O00168, FXYD1 ,-1.452707864,-1.659423259,-1.904033706,-2.226468069,-2.03301413,-1.01348557
O00170, AIP ,1.034529862,0.979418825,1.011790719,1.162711295,0.806772485,0.964845779
O00178, GTPBP1 ,-1.847737023,-1.739481176,-2.119552506,-2.163473976,-1.945533356,-2.130181187
O00186, STXBP3 ,1.558621991,1.344782048,1.247075453,1.448603675,1.380660386,1.662158904
O00189, AP4M1 ,-1.484264766,-2.184196081,-1.607035376,-2.15166883,-2.45641996,-2.464315279
O00192, ARVCF ,1.694364776,2.003192878,1.931482597,2.264577046,1.632926873,1.852777276
O00193, SMAP ,1.51980212,1.559310336,1.2268711,1.624717497,1.353823176,1.302506983
O00194, RAB27B ,-7.546996613,-3.900567156,-7.006091253,-6.441195675,-6.829180187,-9.211333903
O00203, AP3B1 ,1.708674455,1.638943431,1.640775984,1.588138394,1.281493612,1.662505435
O00213, APBB1 ,-0.404575153,-0.30099,-0.642069946,-0.512614436,-0.593242239,-0.497092255
O00214, LGALS8 ,-0.013410065,-0.118257374,-0.517585694,-0.380634194,-0.043928621,0.354606691
O00217, NDUFS8 ,3.914817098,3.876633212,3.919840612,3.82776463,3.944597498,3.925485701
O00231, PSMD11 ,0.943491017,1.350535832,1.487672016,1.187244431,1.226085619,1.08850224
O00232, PSMD12 ,1.508232844,2.031240803,2.519074929,2.060160624,1.6679909,1.523866712
O00233, PSMD9 ,2.668389941,2.637556773,2.669826953,2.794934621,2.647860707,2.265117118
O00244, ATOX1 ,-0.746476426,-0.782104349,-0.794430098,-0.729750025,-0.434095828,-0.833587552
O00264, PGRMC1 ,-0.661961328,-0.434650921,-0.871092261,-1.04057431,-0.439641753,-0.666847945
O00267, SUPT5H ,-0.213374292,-0.185388514,-0.08911517,-0.02468486,0.08569566,-0.076858703
O00273, DFFA ,0.649087144,1.303717133,1.007984958,0.770763158,0.997514851,0.403543456
O00291, HIP1 ,2.018209048,1.899835855,2.064954909,2.058010022,1.979620147,2.093394046
O00299, CLIC1 ,1.548325808,2.007085692,1.705336869,1.595359317,1.312832338,1.155891894
O00303, EIF3F ,0.552109612,0.348906492,0.524108155,0.419862521,0.019708224,0.502752929
O00330, PDHX ,4.034234762,3.901196908,3.797585547,4.299628966,3.941449417,4.068865484
O00339, MATN2 ,1.081556343,1.123557984,1.070793321,0.702331013,1.05767899,1.007071313
O00391, QSOX1 ,-0.705750878,-0.391696018,-0.780347208,-0.654734217,-0.75033215,-0.881836737
O00400, SLC33A1 ,-5.077866185,-4.722222993,-5.017581011,-4.92901637,-5.00613365,-5.081319605
O00401, WASL ,-0.310699199,-0.332704844,-0.29482683,-0.195125481,-0.152387085,-0.1945912
O00408, PDE2A ,-0.393205459,-0.924737787,-0.474354836,-0.775916754,-1.030932429,-0.659899161
O00410, IPO5 ,2.648187508,2.407134194,2.376714122,2.48160529,2.249563424,2.566615664
O00411, POLRMT ,-2.306905784,-1.68249351,-3.086092698,-2.138887751,-1.85375158,-2.660393156
O00418, EEF2K ,-0.841225022,-1.208259293,-1.074627768,-0.735067742,-0.847438329,-1.02750377
O00422, SAP18 ,0.330784034,-0.292533145,0.09200093,0.245984436,0.210576445,0.272763809
O00423, EML1 ,2.627502542,2.408637377,2.238277915,2.37359054,2.1335422,2.697590496
O00429, DNM1L ,3.808682629,3.714360012,3.623246059,3.706168301,3.504153528,3.78804895
O00442, RTCA ,1.087920836,1.012079223,1.072190305,1.203642892,1.026001497,1.030484072
O00443, PIK3C2A ,-2.788767916,-3.298837527,-2.657527883,-3.324854386,-3.497731176,-3.088929105
O00459, PIK3R2 ,-1.547700913,-1.546489487,-1.798138147,-2.64299758,-2.530543678,-1.78373347
O00461, GOLIM4 ,0.971708861,0.717204466,0.871226336,1.553591065,1.136124045,1.31137354
O00468, AGRN ,1.714579837,2.519632101,2.304995354,2.202141253,2.235308206,1.921419401
O00469, PLOD2 ,-1.575353835,-1.234066747,-1.439655004,-1.31322707,-1.375745705,-1.645114538
O00471, EXOC5 ,-2.249827696,-1.85174783,-2.222202995,-2.286601385,-2.536966105,-2.48510586
O00478, BTN3A3 ,-3.298159139,-3.832448034,-3.465135429,-3.150720998,-3.152525074,-3.270494085
O00479, HMGN4 ,-0.879966502,-0.691289385,-0.881661502,-0.757330118,0.197679918,-0.486065724
O00483, NDUFA4 ,2.531244504,2.54188938,2.898266915,2.407689159,2.260314326,2.570729398
O00487, PSMD14 ,2.07147738,2.271510433,1.748302421,2.45640036,1.963794023,2.013333847
O00499, BIN1 ,1.762398353,1.660812363,1.676044961,1.667261063,1.53321963,1.620940009
O00505, KPNA3 ,-0.601344677,-0.832121155,-0.505464647,-0.174942849,0.033723562,-0.554934922
O00506, STK25 ,-2.243898542,-1.148946518,-1.901040118,-1.620935328,-1.270565146,-2.083409963
O00507, USP9Y ,-1.923823081,-2.866694884,-3.59318732,-2.454570443,-2.649801794,-3.552326798
O00526, UPK2 ,-4.697016637,-4.145213106,-4.919355115,-4.53252617,-4.573548639,-5.260605078
O00533, CHL1 ,0.257068405,-0.279343156,-0.033071479,-0.257118803,-0.032920982,0.436762617
O00534, VWA5A ,-0.66192945,-1.086883765,-0.69016726,-1.048496872,-1.378002687,-1.313152315
O00541, PES1 ,-1.474433852,-1.313402276,-1.65150209,-1.372545019,-1.122661331,-1.379809082
O00560, SDCBP ,0.362692081,0.098004979,-0.038073785,0.233152363,0.420489828,-0.147237908
O00566, MPHOSPH10 ,-3.426649629,-3.021002461,-2.883348536,-3.545921763,-3.70515687,-2.963701572
O00567, NOP56 ,-3.509351395,-3.503717471,-3.44676756,-2.892495369,-3.205978219,-3.17574171
O00571, DDX3X ,1.592287755,1.717802585,1.569597781,1.950929254,1.502832596,1.567911138
O00592, PODXL ,0.880208061,0.155452185,0.662281611,0.573730582,0.381566008,0.941048208
O00622, CYR61 ,-1.599633947,-1.134311737,-1.566719292,-0.199235308,-0.560038484,-1.132103179
O00625, PIR ,-1.113893125,-1.609650916,-1.105471368,-1.337179866,-0.664590228,-1.381808561
O00629, KPNA4 ,2.328611741,2.234371014,2.248825332,2.503896691,1.680568287,2.144959293
O00634, NTN3 ,-1.717132691,-1.551061406,-1.497260747,-1.442387473,-1.765729255,-1.449545609
O00712, NFIB ,0.295743521,0.170871788,0.258897938,0.127105495,-0.077158985,0.733987441
O00743, PPP6C ,-0.062366649,0.089916323,0.001581541,0.370837415,0.373091349,0.011865953
O00748, CES2 ,2.32161577,2.623829152,2.133294633,3.20237309,2.752340169,2.735511683
O00754, MAN2B1 ,-2.621599194,-2.211570808,-2.984221179,-2.296819451,-2.097400079,-2.402348616
O00763, ACACB ,1.883378941,1.62033231,1.674612413,1.857569629,1.912391023,1.7653002
O00764, PDXK ,1.440292086,1.338702814,1.195765938,1.313165696,1.396733784,1.078798412
O14495, PPAP2B ,0.284605127,0.350192966,0.029232581,0.211422634,0.171719481,0.416853211
O14497, ARID1A ,-0.776291375,-0.581006566,-0.713110972,-0.704772528,-0.720295012,-0.750322001
O14498, ISLR ,-3.031018223,-3.906224134,-2.589212413,-3.310853519,-3.288042832,-3.054849925
O14521, SDHD ,-5.314803313,-6.072728893,-4.637293868,-4.999756761,-4.879649975,-5.287770482
O14523, C2CD2L ,-1.212323506,-1.467697569,-1.192026914,-0.958502368,-0.964498725,-1.155979972
O14530, TXNDC9 ,-1.851367542,-1.533207892,-1.747073187,-1.48511532,-1.75033215,-2.189234944
O14531, DPYSL4 ,1.545291603,0.852567232,1.100596599,1.325819197,1.546172729,1.16288962
O14545, TRAFD1 ,-0.698343349,-0.596950835,-0.386502547,0.069219323,-0.325823402,-0.446403459
O14548, COX7A2L ,1.649600971,0.721187247,1.083137794,1.027518182,1.141724124,1.433152023
O14558, HSPB6 ,2.193749008,2.426066531,2.119584932,3.969845622,2.981193253,1.992604819
O14561, NDUFAB1 ,1.123218747,1.477498014,1.470850982,1.760899439,1.480078446,1.626012875
O14562, UBFD1 ,-3.035058672,-2.43527139,-3.362901771,-2.495378194,-3.216479792,-3.292867686
O14576, DYNC1I1 ,1.79237232,1.655931078,1.688874281,1.99313414,1.615745337,1.689621658
O14579, COPE ,-0.082428383,0.541626645,0.440519478,0.580966738,0.241464846,0.154340437
O14617, AP3D1 ,-1.954105648,-1.721026435,-2.373275323,-1.559895797,-1.658894467,-1.915630079
O14618, CCS ,0.626948167,0.325377187,0.364075444,0.46946632,0.692371275,0.242324963
O14639, ABLIM1 ,2.891167154,2.773697872,3.011819082,3.080533921,3.032469765,2.97237744
O14641, DVL2 ,-3.858480747,-3.508435411,-4.068169591,-3.438010017,-3.496843263,-3.90772703
O14647, CHD2 ,-3.349130663,-3.604191956,-3.444109209,-3.52082047,-3.853213205,-3.260946765
O14653, GOSR2 ,-0.27493633,-0.158184466,0.068122588,-0.108562462,-0.134469152,-0.207167013
O14656, TOR1A ,-0.894200553,-1.081855454,-0.696950332,-0.730245516,-1.050428029,-0.837600342
O14662, STX16 ,-4.233306034,-6.757731529,-3.156932159,-3.659323626,-3.505841097,-3.806573447
O14672, ADAM10 ,1.672282918,1.559718155,1.655616654,1.603246765,1.615880364,1.566708236
O14683, TP53I11 ,-2.64686639,-2.118565802,-2.343729979,-2.745275801,-2.546291025,-2.99248124
O14686, KMT2D ,-3.734043762,-3.747817578,-3.961322915,-3.581956948,-4.2378322,-3.728239783
O14732, IMPA2 ,-1.13245727,-0.955538312,-1.082761547,-1.433369154,-0.088290744,-0.298812538
O14733, MAP2K7 ,-5.223524501,-5.499929471,-4.546552705,-4.954593251,-4.677412394,-5.09803397
O14737, PDCD5 ,0.074895875,1.576926419,2.001714839,2.055753567,2.377239319,1.974507189
O14744, PRMT5 ,1.198365777,0.819387702,1.107868174,1.031594746,0.940824365,0.899992374
O14745, SLC9A3R1 ,1.689625628,1.537039854,2.106983356,1.756864279,2.179761393,1.617905573
O14773, TPP1 ,-0.073432842,-0.40133368,-0.508661666,-0.571328022,-0.274113844,-0.066369263
O14775, GNB5 ,0.721988809,0.398413731,0.568826836,-0.06657271,0.469133487,0.354091894
O14776, TCERG1 ,-0.762280516,-0.897244917,-0.687954254,-0.639429978,-0.626014234,-0.542060972
O14786, NRP1 ,1.363600609,1.130063383,1.148578954,1.118443458,1.224457175,1.430916232
O14791, APOL1 ,0.533020943,0.770194067,0.535227704,0.697628553,0.496407761,0.583018993
O14802, POLR3A ,-2.396994253,-2.423967621,-2.363941664,-2.745590604,-2.399239888,-1.612801703
O14807, MRAS ,-0.42398733,-0.478847968,-0.698620153,-0.377248952,-0.574571333,-0.29749758
O14818, PSMA7 ,2.749752994,2.680617231,2.568441209,2.518866424,2.354923778,2.665663691
O14827, RASGRF2 ,-6.520748438,-4.264420829,-5.462274941,-4.773026094,-7.593971638,-6.904717525
O14828, SCAMP3 ,-0.398985368,-0.622766644,-0.777795444,-0.540523762,-0.536677921,-0.337269364
O14832, PHYH ,0.40030499,0.34288773,-0.069537336,0.572181394,0.373474738,0.908504998
O14841, OPLAH ,2.597656704,2.434520857,2.701824952,2.530140433,2.386845413,2.254754654
O14874, BCKDK ,1.225588066,0.762291333,1.459388357,1.504002021,1.560975515,1.610201626
O14879, IFIT3 ,0.884252441,0.805324052,0.786691747,0.765174467,0.943452068,0.778277139
O14880, MGST3 ,3.061279233,1.602989653,3.111710828,2.816358913,3.057639227,3.377827143
O14896, IRF6 ,-2.293311734,-2.444759328,-2.646790249,-2.022533189,-2.565368584,-2.67050077
O14907, TAX1BP3 ,0.9343477,0.943333434,0.824839561,1.117637324,0.9334759,0.917795266
O14908, GIPC1 ,-0.173791003,-0.412868115,-0.702089661,-0.257067802,-0.541669222,-0.400219156
O14910, LIN7A ,-2.694849467,-2.971306559,-3.196616403,-2.569996977,-2.657953885,-2.882837587
O14920, IKBKB ,0.120330097,0.104219769,0.133225104,-0.116729596,-0.055364875,0.014881672
O14925, TIMM23,-1.916198631,-2.128661613,-1.839295472,-1.503752719,-1.488853311,-1.653975748
O14936, CASK ,0.387408843,0.232628222,0.266081549,1.007788712,0.547135999,0.446796304
O14949, UQCRQ ,1.783854969,2.067983212,2.984522877,2.305986081,2.462676588,2.728164035
O14957, UQCR11 ,-4.326195665,-3.308332525,-1.864482202,-4.555122401,-3.640817688,-4.064842559
O14958, CASQ2 ,3.331296571,3.357866496,3.101929507,3.706658686,3.184821806,3.386191531
O14964, HGS ,1.77175116,2.071263308,1.724616449,1.655794447,1.701077847,1.66847003
O14966, RAB29 ,-1.462280309,-1.926876082,-1.61951723,-2.051589657,-1.935541682,-1.409003488
O14967, CLGN ,4.368310289,3.632490297,3.320383122,4.02546509,3.508959967,3.759399598
O14972, DSCR3 ,-1.389057162,-1.34458918,-1.26785805,-1.399537086,-1.42157018,-1.397399202
O14974, PPP1R12A ,2.904306003,3.006324289,3.061259608,2.785309626,3.096670471,2.834133004
O14976, GAK ,-0.649834835,-0.692065996,-0.649168164,-0.541206724,-0.667150817,-0.78297833
O14979, HNRNPDL ,1.779812081,2.085030969,1.644805349,1.955887921,1.923779339,2.019298767
O14980, XPO1 ,1.307236294,1.024273061,1.209350893,1.183622891,1.006750412,1.147746631
O14981, BTAF1 ,-2.003823073,-1.183898127,-1.165869931,-1.302766204,-1.894451687,-2.212304437
O14986, PIP5K1B ,-2.980673279,-4.037794048,-3.194450718,-2.885382799,-3.542983059,-3.35831916
O15013, ARHGEF10 ,-5.898723664,-5.795228018,-5.660326058,-5.485746248,-4.652947782,-5.484277051
O15018, PDZD2 ,-1.901370591,-1.982231883,-2.431630786,-1.534082595,-2.097364661,-2.249504952
O15021, MAST4 ,0.37537523,0.686502666,0.765428273,0.153513049,0.899537338,0.276390894
O15027, SEC16A ,1.76352627,1.570428361,1.536200872,1.702042477,1.5872437,1.638837702
O15031, PLXNB2 ,1.424090667,1.336237961,1.365037927,2.155200278,1.952290746,1.543660456
O15037, KHNYN ,-2.841412735,-2.857795217,-2.878966345,-2.47283861,-2.906487154,-2.736220662
O15040, TECPR2 ,-5.577132182,-6.276957878,-5.347047305,-5.553618288,-5.33342462,-5.713703872
O15056, SYNJ2 ,-1.724637578,-1.537420606,-1.544860707,-1.434060873,-1.49548908,-1.476610164
O15061, SYNM ,2.826828178,3.346630913,3.254070264,3.531654221,3.391821727,2.717822389
O15066, KIF3B ,-3.698768417,-3.639300994,-3.874373733,-3.432839061,-3.595291487,-3.88973094
O15067, PFAS ,1.199506699,1.085803442,1.185794333,1.264505993,1.333637541,0.814761444
O15068, MCF2L ,0.264081713,-0.15185738,-0.44706901,-0.174894672,0.028580114,0.058192242
O15075, DCLK1 ,-0.124198993,-0.173015411,-0.327132441,-0.580679887,-0.822853262,-0.617085318
O15084, ANKRD28 ,-1.265048579,-1.04335087,-1.133722236,-1.067511543,-1.50074949,-1.404205404
O15085, ARHGEF11 ,0.165419412,0.212492257,0.050337516,0.305865254,0.226969873,-0.049811318
O15111, CHUK ,-2.803039674,-2.648864348,-2.574602025,-2.549040404,-2.211775295,-2.882210711
O15116, LSM1 ,-1.101302568,-0.55386607,-0.884967131,-0.71188491,-1.132063563,-0.952301862
O15120, AGPAT2 ,-7.689281994,-5.421322635,-8.101097005,-7.035477619,-5.194761249,-7.973455118
O15121, DEGS1 ,-2.275058224,-2.544129275,-2.481034164,-2.285914422,-2.076827229,-1.990801823
O15126, SCAMP1 ,1.209734591,1.075469646,0.944577472,1.02904563,1.123700228,1.224621816
O15127, SCAMP2 ,-3.162449412,-3.137914453,-2.725099241,-2.896462002,-2.275766216,-2.249765767
O15143, ARPC1B ,0.674051856,0.660535852,0.664640766,0.649414734,0.867709666,0.59216115
O15144, ARPC2 ,2.271336561,1.852658007,2.01583162,2.036741913,1.671242997,1.964002591
O15145, ARPC3 ,0.301378736,0.985723402,1.128000845,0.723679207,0.298838482,0.169561026
O15155, BET1 ,-3.254896324,-3.683125024,-3.069097277,-3.479963513,-3.010996036,-2.662787527
O15160, POLR1C ,-0.460504889,-0.765810138,-0.703330796,-0.603776883,-0.456919744,-0.406638801
O15173, PGRMC2 ,1.262839631,0.844313181,0.857655616,1.245498538,0.803693749,1.373970586
O15211, RGL2 ,-0.260914398,-0.485824639,-0.491406278,-0.384751573,-0.293662447,-0.456715834
O15212, PFDN6 ,-0.203619788,0.265000096,0.998283254,0.352236309,0.647768262,0.321086173
O15228, GNPAT ,-2.067424601,-2.2741536,-1.357733061,-2.306561385,-2.395315668,-2.210526468
O15230, LAMA5 ,1.908068762,1.960478482,2.050484794,2.104498924,2.450463064,2.006457211
O15231, ZNF185 ,-3.849071992,-4.064093763,-4.058798304,-3.627170577,-3.62296461,-3.793928702
O15235, MRPS12 ,-1.622839688,-1.306250148,-1.753229789,-1.3281509,-1.197563315,-1.726804997
O15239, NDUFA1 ,-4.902756147,-5.215453178,-4.11265965,-4.809913498,-4.116295458,-4.954659642
O15247, CLIC2 ,0.972633172,1.341810304,1.289137481,1.017286632,0.932327024,1.062610188
O15254, ACOX3 ,1.562106021,1.458934829,1.497023038,1.864149241,1.447537611,1.556675934
O15258, RER1 ,-1.971304633,-2.016883573,-1.656301479,-1.411293951,-1.343357638,-1.825789708
O15260, SURF4 ,-2.212090101,-2.405496304,-2.45745022,-1.60371203,-2.146630931,-1.937941316
O15269, SPTLC1 ,-3.314622887,-3.442203307,-3.345627982,-3.402286837,-3.515699831,-3.203335387
